Country,Code,Region,Sub_Region,Consumption,Government,Investment,Net_Exports,Consumption_Investment,Government_Investment
Bahamas,BHS,Americas,Latin America and the Caribbean,14.20,58.18,25.92,2.57,0.55,2.24
Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,46.90,18.23,33.24,1.63,1.41,0.55
St. Kitts and Nevis,KNA,Americas,Latin America and the Caribbean,47.55,18.69,30.00,3.77,1.58,0.62
Aruba,ABW,Americas,Latin America and the Caribbean,57.88,25.12,25.03,-8.03,2.31,1.00
St. Lucia,LCA,Americas,Latin America and the Caribbean,50.51,17.80,21.35,10.33,2.37,0.83
Ecuador,ECU,Americas,Latin America and the Caribbean,59.63,14.41,24.89,0.02,2.40,0.58
Dominican Republic,DOM,Americas,Latin America and the Caribbean,67.80,11.07,26.00,-4.87,2.61,0.43
Chile,CHL,Americas,Latin America and the Caribbean,63.21,14.63,22.99,-0.83,2.75,0.64
Paraguay,PRY,Americas,Latin America and the Caribbean,65.31,11.95,21.70,1.04,3.01,0.55
Peru,PER,Americas,Latin America and the Caribbean,65.75,11.37,21.44,1.44,3.07,0.53
Mexico,MEX,Americas,Latin America and the Caribbean,64.85,11.35,21.08,-0.25,3.08,0.54
Dominica,DMA,Americas,Latin America and the Caribbean,73.97,35.09,23.61,-32.66,3.13,1.49
Jamaica,JAM,Americas,Latin America and the Caribbean,76.19,13.58,24.27,-14.04,3.14,0.56
Colombia,COL,Americas,Latin America and the Caribbean,68.39,15.43,21.54,-6.11,3.18,0.72
Haiti,HTI,Americas,Latin America and the Caribbean,102.95,8.64,29.93,-41.52,3.44,0.29
Bolivia,BOL,Americas,Latin America and the Caribbean,68.44,18.14,19.88,-6.50,3.44,0.91
Honduras,HND,Americas,Latin America and the Caribbean,81.97,13.49,22.73,-18.19,3.61,0.59
Grenada,GRD,Americas,Latin America and the Caribbean,73.70,11.74,20.30,-5.74,3.63,0.58
Costa Rica,CRI,Americas,Latin America and the Caribbean,64.37,16.87,16.19,2.58,3.98,1.04
St. Vincent and the Grenadines,VCT,Americas,Latin America and the Caribbean,77.42,17.19,18.75,-13.36,4.13,0.92
Nicaragua,NIC,Americas,Latin America and the Caribbean,72.08,15.65,17.38,-4.86,4.15,0.90
Brazil,BRA,Americas,Latin America and the Caribbean,64.76,20.08,15.40,-0.25,4.20,1.30
Argentina,ARG,Americas,Latin America and the Caribbean,64.61,15.77,14.58,2.25,4.43,1.08
El Salvador,SLV,Americas,Latin America and the Caribbean,83.03,15.96,17.80,-18.10,4.67,0.90
Belize,BLZ,Americas,Latin America and the Caribbean,68.45,17.49,14.36,-0.31,4.77,1.22
Barbados,BRB,Americas,Latin America and the Caribbean,75.73,11.31,15.52,-2.56,4.88,0.73
Guatemala,GTM,Americas,Latin America and the Caribbean,84.88,11.07,14.52,-10.47,5.85,0.76
Guyana,GUY,Americas,Latin America and the Caribbean,111.72,19.25,14.21,-45.18,7.86,1.36
Trinidad and Tobago,TTO,Americas,Latin America and the Caribbean,73.55,13.01,7.62,5.82,9.65,1.71
