Year,Decile_1,Decile_2,Decile_3,Decile_4,Decile_5,Decile_6,Decile_7,Decile_8,Decile_9,Decile_10
1962,0.00,0.01,0.30,0.80,1.42,2.25,3.79,7.11,14.00,70.32
1963,0.00,0.01,0.28,0.76,1.36,2.20,3.78,7.11,14.20,70.28
1964,0.00,0.01,0.25,0.72,1.31,2.16,3.77,7.12,14.41,70.25
1965,0.00,0.01,0.28,0.71,1.32,2.19,3.85,7.19,14.61,69.84
1966,0.00,0.02,0.30,0.70,1.32,2.22,3.92,7.25,14.81,69.46
1967,0.00,0.00,0.19,0.64,1.38,2.50,4.45,7.62,14.96,68.28
1968,0.00,0.00,0.16,0.56,1.22,2.16,3.92,7.13,14.77,70.08
1969,0.00,0.00,0.20,0.71,1.47,2.66,4.61,7.79,15.27,67.29
1970,0.00,0.00,0.17,0.65,1.31,2.35,4.17,7.43,15.20,68.74
1971,0.00,0.00,0.19,0.68,1.44,2.54,4.52,7.93,15.40,67.29
1972,0.00,0.00,0.21,0.65,1.32,2.22,4.08,7.50,15.41,68.62
1973,0.00,0.00,0.19,0.67,1.36,2.34,4.26,7.87,15.82,67.47
1974,0.00,0.00,0.15,0.58,1.36,2.39,4.64,8.59,16.79,65.51
1975,0.00,0.00,0.21,0.63,1.36,2.34,4.28,8.19,16.82,66.17
1976,0.00,0.00,0.23,0.69,1.45,2.44,4.67,8.75,17.34,64.42
1977,0.00,0.00,0.21,0.61,1.33,2.33,4.39,8.64,17.31,65.17
1978,0.00,0.00,0.20,0.63,1.44,2.50,4.92,9.31,18.05,62.96
1979,0.00,0.00,0.20,0.61,1.38,2.37,4.52,8.85,17.57,64.50
1980,0.00,0.00,0.19,0.62,1.39,2.44,4.63,9.02,17.52,64.20
1981,0.00,0.00,0.21,0.69,1.47,2.60,4.77,9.16,17.29,63.81
1982,0.00,0.00,0.24,0.79,1.62,2.79,5.07,9.44,17.20,62.85
1983,0.00,0.00,0.25,0.83,1.69,2.90,5.22,9.54,17.24,62.33
1984,0.00,0.00,0.20,0.75,1.59,2.84,5.20,9.48,17.44,62.50
1985,0.00,0.00,0.19,0.79,1.68,2.97,5.35,9.58,17.33,62.11
1986,0.00,0.00,0.20,0.77,1.67,2.99,5.38,9.60,17.11,62.27
1987,0.00,0.00,0.26,0.84,1.76,3.03,5.38,9.47,16.54,62.73
1988,0.00,0.00,0.27,0.80,1.66,2.83,5.09,9.21,16.16,63.98
1989,0.00,0.00,0.27,0.78,1.65,2.82,5.12,9.14,16.14,64.09
1990,0.00,0.00,0.25,0.77,1.66,2.73,5.04,9.09,16.31,64.15
1991,0.00,0.00,0.23,0.75,1.66,2.77,5.04,9.08,16.28,64.20
1992,0.00,0.00,0.17,0.70,1.55,2.59,4.70,8.70,16.03,65.56
1993,0.00,0.00,0.20,0.66,1.46,2.44,4.52,8.67,16.23,65.82
1994,0.00,0.00,0.16,0.60,1.42,2.46,4.55,8.67,16.28,65.85
1995,0.00,0.00,0.13,0.58,1.35,2.35,4.48,8.67,16.32,66.12
1996,0.00,0.00,0.07,0.52,1.30,2.36,4.48,8.61,16.16,66.50
1997,0.00,0.00,0.03,0.46,1.18,2.22,4.29,8.44,16.20,67.18
1998,0.00,0.00,0.02,0.44,1.12,2.22,4.31,8.30,15.72,67.87
1999,0.00,0.00,0.03,0.46,1.21,2.26,4.30,8.31,15.56,67.87
2000,0.00,0.00,0.03,0.44,1.29,2.34,4.33,8.33,15.38,67.86
2001,0.00,0.00,0.03,0.48,1.39,2.49,4.42,8.46,15.53,67.20
2002,0.00,0.00,0.03,0.51,1.40,2.50,4.41,8.43,15.46,67.26
2003,0.00,0.00,0.04,0.50,1.31,2.39,4.29,8.39,15.68,67.40
2004,0.00,0.00,0.04,0.50,1.26,2.36,4.25,8.28,15.46,67.86
2005,0.00,0.00,0.06,0.50,1.29,2.41,4.25,8.25,15.31,67.92
2006,0.00,0.00,0.04,0.41,1.25,2.41,4.39,8.31,15.20,68.00
2007,0.00,0.00,0.01,0.28,1.13,2.25,4.37,8.29,15.24,68.43
2008,0.00,0.00,0.00,0.15,0.96,2.04,4.04,8.01,15.35,69.44
2009,0.00,0.00,0.00,0.11,0.84,1.89,3.77,7.96,15.74,69.69
2010,0.00,0.00,0.00,0.11,0.78,1.77,3.59,7.59,15.28,70.88
2011,0.00,0.00,0.00,0.11,0.76,1.71,3.44,7.38,14.89,71.71
2012,0.00,0.00,0.00,0.11,0.76,1.69,3.39,7.14,14.35,72.56
2013,0.00,0.00,0.00,0.13,0.79,1.65,3.18,6.91,14.46,72.88
2014,0.00,0.00,0.00,0.17,0.85,1.69,3.18,6.88,14.36,72.85
2015,0.00,0.00,0.01,0.21,0.88,1.72,3.23,6.96,14.33,72.67
2016,0.00,0.00,0.01,0.22,0.92,1.78,3.32,7.07,14.44,72.24
2017,0.00,0.00,0.01,0.33,1.08,2.02,3.85,7.51,14.35,70.84
2018,0.00,0.00,0.01,0.35,1.11,2.06,3.90,7.56,14.33,70.68
2019,0.00,0.00,0.02,0.38,1.12,2.07,3.91,7.55,14.29,70.67
